id_integrante;Unidade;Cargo / Nome;Data Contratação;Idade;Status do Integrante;Fonte Recrutamento;Ano Contratacao
E001;U3;Assistente  / Ana;01/09/2025;38;Ativo;Site da Empresa;01/09/2025
E001;U3;Assistente  / Ana;01/09/2025;38;Ativo;Site da Empresa;01/09/2025
E002;U3;Coordenador / Ramos;03/02/2025;45;Ativo;Indicacao Funcionarios;03/02/2025
E003;U3;Coordenador / Montgomery;06/07/2020;49;Ativo;Site de Vagas;06/07/2020
E004;U1;Professor / Morris;04/11/2018;26;Ativo;Site de Vagas;04/11/2018
E005;U1;Coordenador / Simmons;28/09/2020;35;Ativo;Feira de Contratacao;28/09/2020
E006;U1;Professor / Vasquez;04/12/2020;42;Ativo;Site de Vagas;04/12/2020
E007;U2;Supervisor / Simpson;18/08/2021;30;Ativo;Site de Vagas;18/08/2021
E008;U1;Professor / Rivera;06/07/2020;27;Ativo;Feira de Contratacao;06/07/2020
E009;U1;Coordenador / Martinez;07/06/2019;35;Ativo;Indicacao Funcionarios;07/06/2019
E010;U3;Secret‡ria / Burton;30/06/2021;38;Ativo;Site de Vagas;30/06/2021
E011;U2;Assistente  / Porter;01/09/2025;35;Ativo;Site da Empresa;01/09/2025
E012;U1;Assistente  / Butler;18/08/2021;25;Ativo;Feira de Contratacao;18/08/2021
E013;U1;Secret‡ria / Alexander;30/09/2014;36;Ativo;Site de Vagas;30/09/2014
E014;U1;Coordenador / Duncan;10/11/2021;41;Ativo;Feira de Contratacao;10/11/2021
E015;U1;Assistente  / Peters;06/08/2021;31;Ativo;Indicacao Funcionarios;06/08/2021
E016;U1;Supervisor / Castillo;19/02/2025;47;Ativo;Site de Vagas;19/02/2025
E017;U1;Assistente  / Kim;18/02/2021;49;Ativo;Site da Empresa;18/02/2021
E018;U2;Professor / Long;06/08/2021;38;Ativo;Indicacao Funcionarios;06/08/2021
E019;U1;Secret‡ria / Diaz;03/02/2025;29;Ativo;Site de Vagas;03/02/2025
E020;U1;Supervisor / Larson;29/03/2018;30;Ativo;Indicacao Funcionarios;29/03/2018
E021;U3;Secret‡ria / Hanson;06/02/2025;36;Ativo;Site da Empresa;06/02/2025
E022;U1;Assistente  / Ruiz;11/05/2025;43;Ativo;Site de Vagas;11/05/2025
E023;U2;Professor / Hernandez;07/09/2025;29;Ativo;Site de Vagas;07/09/2025
E024;U3;Supervisor / Griffin;30/05/2014;38;Ativo;Feira de Contratacao;30/05/2014
E025;U1;Professor / Green;06/08/2021;31;Ativo;Indicacao Funcionarios;06/08/2021
E026;U1;Coordenador / Armstrong;10/05/2010;34;Ativo;Site de Vagas;10/05/2010
E027;U3;Secret‡ria / Payne;31/05/2020;42;Ativo;Site de Vagas;31/05/2020
E028;U3;Supervisor / Bennett;16/02/2020;33;Ativo;Site de Vagas;16/02/2020
E029;U1;Supervisor / Cook;28/09/2020;37;Ativo;Feira de Contratacao;28/09/2020
E030;U1;Professor / Lewis;01/07/2011;27;Ativo;Site da Empresa;01/07/2011
E031;U1;Assistente  / Ryan;03/04/2014;45;Ativo;Site de Vagas;03/04/2014
E032;U1;Secret‡ria / Hawkins;04/12/2020;36;Ativo;Site de Vagas;04/12/2020
E033;U3;Assistente  / Little;06/02/2025;38;Ativo;Site da Empresa;06/02/2025
E034;U1;Professor / Nguyen;14/05/2025;34;Ativo;Site de Vagas;14/05/2025
E035;U1;Secret‡ria / Roberts;04/01/2021;31;Ativo;Site da Empresa;04/01/2021
E036;U2;Assistente  / Holmes;28/09/2020;27;Ativo;Feira de Contratacao;28/09/2020
E037;U3;Assistente  / Berry;14/05/2025;47;Ativo;Site de Vagas;14/05/2025
E038;U1;Assistente  / Brown;19/02/2025;32;Ativo;Site da Empresa;19/02/2025
E039;U2;Secret‡ria / Wallace;30/03/2020;33;Ativo;Site da Empresa;30/03/2020
E040;U3;Professor / Cunningham;30/04/2018;39;Ativo;Site da Empresa;30/04/2018
E041;U2;Professor / Torres;10/10/2020;41;Ativo;Site da Empresa;10/10/2020
E042;U1;Professor / Fowler;30/03/2020;37;Ativo;Indicacao Funcionarios;30/03/2020
E043;U3;Assistente  / Price;15/05/2014;33;Ativo;Site da Empresa;15/05/2014
E044;U2;Coordenador / Tucker;31/05/2020;52;Ativo;Feira de Contratacao;31/05/2020
E045;U3;Professor / Rice;29/09/2021;39;Ativo;Feira de Contratacao;29/09/2021
E046;U2;Assistente  / Graham;31/05/2020;54;Ativo;Indicacao Funcionarios;31/05/2020
E047;U2;Assistente  / Reynolds;16/02/2020;31;Ativo;Feira de Contratacao;16/02/2020
E048;U1;Assistente  / Miller;29/09/2021;33;Ativo;Indicacao Funcionarios;29/09/2021
E049;U1;Professor / Walker;18/08/2021;52;Ativo;Site da Empresa;18/08/2021
E050;U2;Assistente  / Williams;09/03/2014;27;Ativo;Site de Vagas;09/03/2014
E051;U1;Coordenador / Day;04/12/2020;33;Ativo;Site de Vagas;04/12/2020
E052;U1;Assistente  / Rose;19/02/2025;29;Ativo;Site de Vagas;19/02/2025
E053;U1;Professor / Ford;10/11/2021;23;Ativo;Site de Vagas;10/11/2021
E054;U1;Assistente  / Sims;13/08/2025;32;Ativo;Site da Empresa;13/08/2025
E055;U1;Secret‡ria / Watson;16/02/2020;38;Ativo;Feira de Contratacao;16/02/2020
E056;U1;Professor / Weaver;31/05/2020;29;Ativo;Site de Vagas;31/05/2020
E057;U1;Coordenador / Wheeler;25/04/2013;42;Ativo;Site de Vagas;25/04/2013
E058;U2;Coordenador / Myers;10/11/2021;51;Ativo;Indicacao Funcionarios;10/11/2021
E059;U2;Supervisor / Alvarez;06/08/2021;36;Ativo;Feira de Contratacao;06/08/2021
E060;U3;Assistente  / Davis;29/09/2021;50;Ativo;Indicacao Funcionarios;29/09/2021
E061;U1;Coordenador / Stanley;30/06/2021;28;Ativo;Site de Vagas;30/06/2021
E062;U1;Assistente  / Ross;30/09/2014;33;Ativo;Indicacao Funcionarios;30/09/2014
E063;U3;Professor / Foster;06/05/2014;32;Ativo;Site da Empresa;06/05/2014
E064;U1;Secret‡ria / Elliott;28/09/2020;55;Ativo;Site de Vagas;28/09/2020
E065;U3;Professor / Hamilton;07/06/2019;28;Ativo;Site de Vagas;07/06/2019
E066;U2;Coordenador / Chapman;29/03/2018;26;Ativo;Feira de Contratacao;29/03/2018
E067;U2;Assistente  / Mason;27/11/2014;39;Ativo;Indicacao Funcionarios;27/11/2014
E068;U3;Assistente  / Brooks;29/09/2021;40;Ativo;Site da Empresa;29/09/2021
E069;U2;Assistente  / Greene;29/03/2018;39;Ativo;Site de Vagas;29/03/2018
E070;U1;Assistente  / Ward;16/02/2020;36;Ativo;Site da Empresa;16/02/2020
E071;U1;Supervisor / Wright;30/04/2018;33;Ativo;Indicacao Funcionarios;30/04/2018
E072;U1;Assistente  / Barnes;06/05/2018;30;Ativo;Site de Vagas;06/05/2018
E073;U1;Coordenador / Hudson;06/08/2021;32;Ativo;Site de Vagas;06/08/2021
E074;U1;Secret‡ria / Kelley;27/11/2014;42;Ativo;Site de Vagas;27/11/2014
E075;U1;Supervisor / James;06/11/2014;46;Ativo;Feira de Contratacao;06/11/2014
E076;U1;Supervisor / Gilbert;04/01/2021;49;Ativo;Feira de Contratacao;04/01/2021
E077;U3;Assistente  / Warren;07/04/2019;47;Ativo;Site da Empresa;07/04/2019
E078;U3;Professor / Fernandez;06/06/2012;45;Ativo;Feira de Contratacao;06/06/2012
E079;U1;Professor / Ortiz;15/02/2018;40;Ativo;Site de Vagas;15/02/2018
E080;U2;Supervisor / Rogers;04/12/2020;38;Ativo;Feira de Contratacao;04/12/2020
E081;U3;Supervisor / Arnold;10/11/2021;46;Ativo;Feira de Contratacao;10/11/2021
E082;U3;Coordenador / Black;18/08/2021;41;Ativo;Feira de Contratacao;18/08/2021
E083;U1;Supervisor / White;06/08/2021;36;Ativo;Site da Empresa;06/08/2021
E084;U1;Assistente  / Stevens;29/09/2021;40;Ativo;Site de Vagas;29/09/2021
E085;U2;Assistente  / Wells;17/08/2020;53;Ativo;Site da Empresa;17/08/2020
E086;U3;Assistente  / Hughes;19/02/2025;29;Ativo;Site da Empresa;19/02/2025
E087;U1;Coordenador / Bailey;17/08/2020;27;Ativo;Site de Vagas;17/08/2020
E088;U1;Professor / Stewart;02/07/2014;47;Ativo;Feira de Contratacao;02/07/2014
E089;U3;Assistente  / Burke;04/12/2020;54;Ativo;Site de Vagas;04/12/2020
E090;U3;Assistente  / Young;30/04/2025;27;Ativo;Site de Vagas;30/04/2025
E091;U3;Professor / Henry;28/09/2020;41;Ativo;Site da Empresa;28/09/2020
E092;U1;Secret‡ria / Reyes;30/04/2018;34;Ativo;Site de Vagas;30/04/2018
E093;U1;Assistente  / Morgan;26/09/2013;26;Ativo;Feira de Contratacao;26/09/2013
E094;U1;Supervisor / Gray;06/05/2014;24;Ativo;Feira de Contratacao;06/05/2014
E095;U1;Assistente  / Riley;03/05/2025;26;Ativo;Site de Vagas;03/05/2025
E096;U2;Assistente  / Perez;28/09/2020;40;Ativo;Indicacao Funcionarios;28/09/2020
E097;U2;Supervisor / Taylor;30/09/2014;27;Ativo;Feira de Contratacao;30/09/2014
E098;U1;Professor / Martin;08/06/2014;51;Ativo;Site de Vagas;08/06/2014
E099;U2;Professor / Olson;15/02/2018;26;Ativo;Site de Vagas;15/02/2018
E100;U1;Coordenador / Lawrence;04/12/2020;41;Ativo;Site da Empresa;04/12/2020
E101;U1;Secret‡ria / Peterson;18/08/2021;36;Ativo;Site de Vagas;18/08/2021
E102;U1;Assistente  / Gonzales;14/05/2025;45;Ativo;Indicacao Funcionarios;14/05/2025
E103;U2;Assistente  / Lynch;07/06/2019;32;Ativo;Site de Vagas;07/06/2019
E104;U1;Professor / Williamson;06/08/2021;27;Ativo;Site de Vagas;06/08/2021
E105;U1;Assistente  / Shaw;29/09/2021;25;Ativo;Site de Vagas;29/09/2021
E106;U3;Coordenador / Murphy;01/09/2025;27;Ativo;Site de Vagas;01/09/2025
E107;U3;Professor / Harris;31/08/2009;48;Ativo;Site da Empresa;31/08/2009
E108;U2;Professor / Carpenter;28/09/2020;50;Ativo;Site de Vagas;28/09/2020
E109;U1;Secret‡ria / Jackson;30/04/2012;33;Ativo;Feira de Contratacao;30/04/2012
E110;U3;Supervisor / Allen;04/05/2020;50;Ativo;Site da Empresa;04/05/2020
